time,branch2_seg0,branch1_seg0,branch0_seg0
0.0,1.48029736617e-09,0.0,0.0
0.01,4581.10470821,2555.29517289,-5525.97818512
0.02,-13655.811257,-6064.7533058,-58119.8854928
0.03,-17938.0380318,-10202.7699313,-7267.43324016
0.04,444.375540498,-1647.12578547,26854.9201114
0.05,2585.03834299,633.89752407,-16144.6932539
0.06,-11494.5792708,-6287.0373142,-34158.2270049
0.07,-12479.211146,-7888.24040027,268.826304004
0.08,-956.552512121,-2266.07488822,12845.7082715
0.09,-1498.25626462,-1729.49118412,-16043.5672708
0.1,-10359.6670614,-6200.68909122,-23119.2344374
0.11,-9423.38258164,-6406.32814824,217.04799215
0.12,-2417.84145813,-2872.44680657,3769.95769529
0.13,-3943.08342669,-3139.35746978,-14843.9230449
0.14,-9317.19061605,-5938.78914896,-16243.7212997
0.15,-7791.42591163,-5585.61857951,-1262.35666004
0.16,-3694.75462087,-3452.9132753,-1687.00291376
0.17,-5362.66971677,-3999.4438912,-13332.33981
0.18,-8492.53865538,-5690.72357598,-12221.6349786
0.19,-6999.05878784,-5188.06903009,-3020.57032871
0.2,-4710.77325777,-3956.46711777,-4886.70668587
0.21,-6168.74473929,-4529.28434254,-11930.698098
0.22,-7911.81595586,-5514.69101137,-10013.0275008
0.23,-6686.28765319,-5044.28515161,-4597.13319113
0.24,-5482.57130217,-4371.18379451,-6712.06147787
0.25,-6626.03506838,-4866.03669538,-10813.8584833
0.26,-7546.62960632,-5419.24953703,-8902.39243361
0.27,-6635.0639538,-5045.46235989,-5859.38507239
0.28,-6056.79524089,-4705.91611572,-7726.91971806
0.29,-6895.88439272,-5094.57789349,-10012.4915188
0.3,-7350.16691412,-5393.77775061,-8426.257934
0.31,-6717.80659577,-5125.22907395,-6813.01057919
0.32,-6483.82186197,-4976.91450336,-8282.61594044
0.33,-7072.23159936,-5265.73568906,-9489.28966997
0.34,-7276.05757695,-5422.30907842,-8298.73474065
0.35000000000000003,-6862.90717704,-5244.76682108,-7512.62500743
0.36,-6807.27172893,-5200.8408873,-8591.3141703
0.37,-7207.07709669,-5408.71019902,-9184.41198375
0.38,-7285.84299078,-5489.56284281,-8351.04657696
0.39,-7032.21176219,-5382.37043924,-8021.63062277
0.4,-7061.02464293,-5391.84224522,-8776.34871548
0.41000000000000003,-7327.43193775,-5539.45270649,-9038.50578074
0.42,-7350.55258806,-5583.1010678,-8487.94532732
0.43,-7206.81206079,-5526.56058436,-8396.06812232
0.44,-7269.62177644,-5560.77871652,-8906.13279928
0.45,-7446.09168726,-5666.11977003,-9002.08799467
0.46,-7449.7121909,-5693.66536337,-8658.45531897
